dataset_version,state,state_name,revenue_threshold,transaction_threshold,evaluation_rule,comparison_operator,approaching_percent,threshold_currency,revenue_basis,lookback_period,source_type,source_title,source_url,effective_date,observed_on,verification_status,notes
reference-seed-2026-08-26-v1,AL,Alabama,250000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,AK,Alaska,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,AZ,Arizona,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,AR,Arkansas,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,CA,California,500000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,CO,Colorado,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,CT,Connecticut,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,DE,Delaware,,,NONE,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; no threshold supplied by the reference.
reference-seed-2026-08-26-v1,FL,Florida,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,GA,Georgia,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,HI,Hawaii,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,ID,Idaho,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,IL,Illinois,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,IN,Indiana,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,IA,Iowa,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,KS,Kansas,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,KY,Kentucky,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,LA,Louisiana,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,ME,Maine,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,MD,Maryland,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,MA,Massachusetts,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,MI,Michigan,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,MN,Minnesota,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,MS,Mississippi,250000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,MO,Missouri,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,MT,Montana,,,NONE,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; no threshold supplied by the reference.
reference-seed-2026-08-26-v1,NE,Nebraska,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,NV,Nevada,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,NH,New Hampshire,,,NONE,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; no threshold supplied by the reference.
reference-seed-2026-08-26-v1,NJ,New Jersey,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,NM,New Mexico,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
